CG_h2_data1,CG_h2_data2,CG_h2_data3,CG_h2_data4
439,60,0.176666667,-0.45
439,61,-0.44,0.7
439,62,-0.453333333,0.25
439,63,-0.353333333,-0.35
439,64,-0.31,-0.199999999999999
439,65,-0.446666667,0
439,66,-0.273333333,0
439,69,-0.893333333,-0.3
439,72,0.643333332999999,-0.0999999999999996
439,79,-1.73,-1.6
439,84,-0.916666667,-0.0499999999999998
439,85,-0.863333333,-0.58
439,86,-0.26,-1.17
439,87,-0.55,-0.1
439,88,-0.453333333,-0.38
440,42,-1.18,-0.69
440,43,-0.866666667,-1.06
440,44,-1.13,0.100000000000001
440,45,-0.49,-1.3
440,46,-0.283333333,-0.55
440,47,0.00333333300000005,-0.5
440,48,-0.04,-0.24
440,49,-0.016666667,0.0599999999999996
440,50,0.536666667,0.0700000000000003
440,51,0.976666667,-0.13
440,52,0.87,0.73
442,47,-0.196666667,0.12
442,48,0.38,-0.82
442,49,0.283333333,0.24
442,50,0.856666667,0.00999999999999979
442,51,1.116666667,0.4
442,52,0.63,1.29
442,53,0.976666667,0.109999999999999
442,54,-0.133333333,0.970000000000001
442,55,-0.903333333,0.539999999999999
442,56,-0.29,-0.71
442,57,0.0499999999999998,-0.67
442,58,0.13,0.04
442,59,0.696666667,-0.46
442,60,0.296666667,0.47
442,61,0.34,0.149999999999999
442,66,-0.0733333329999999,-0.2
442,67,-0.156666667000001,-0.0899999999999999
446,51,0.876666667,0
446,52,0.180000000000001,1.4
446,53,0.636666667,-0.2
446,54,-0.503333333,0.8
446,55,-1.133333333,0.2
446,56,-0.74,-0.5
446,57,-0.470000000000001,-0.8
446,58,0.119999999999999,-0.5
446,59,0.396666667,-0.2
446,60,-0.123333333,0.399999999999999
446,61,0.0599999999999996,0.0999999999999996
446,62,0.146666667,0
446,63,0.0466666670000002,0.2
446,64,-0.41,0.5
446,65,-0.0466666669999993,-0.4
446,68,-0.846666667,0.0999999999999996
446,69,-0.293333333000001,-0.399999999999999
446,70,1.053333333,-1.1
446,71,0.65,0.6
446,72,0.443333333,0.6
446,73,0.42,0.5
446,74,0.513333332999999,0.3
446,77,-1.583333333,-0.3
446,78,-2.34,-0.4
446,79,-1.13,-1.7
446,80,-1.893333333,-0.5
446,83,-0.656666667,-0.4
446,84,-1.066666667,-0.3
446,85,-0.543333333,-1.1
446,86,-0.66,-0.2
446,87,-0.47,-0.5
446,88,-0.283333333,-0.7
446,89,0.016666667,-0.5
446,92,0.506666667,0.4
446,93,0.436666667,0.1
446,94,0.563333333,-0.3
446,95,0.16,0.43
446,96,0.0266666670000002,0.3
446,97,0.293333333000001,0.0999999999999996
446,98,0.203333333,0.2
446,99,0.406666667,0
446,100,0.00333333299999961,0.4
446,101,-0.166666667,0.25
446,102,-0.363333333,-0.0500000000000007
446,103,-0.596666667,0
446,104,-1.51,0
446,105,-2.856666667,0
446,106,-2.223333333,-1.05
446,107,-0.406666667,-1.95
446,108,-0.853333333,-0.75
446,109,-1.486666667,0.55
446,110,-0.426666667,-1.45
446,111,-0.143333333,-0.3
446,112,-0.203333333,-0.04
446,113,-0.153333333,0
446,114,-0.103333333,-0.03
446,115,-0.043333333,-0.08
446,116,-0.113333333,0
446,117,-0.173333333,0
446,118,-0.103333333,-0.2
446,119,-0.126666667,0
446,120,-0.136666667,0
446,121,-0.083333333,-0.15
446,122,0.036666667,-0.15
446,123,0.00333333299999999,-0.05
446,124,-0.063333333,0
446,125,-0.113333333,0
446,126,-0.0783,-0.0717
446,127,-0.059966667,-0.0453
446,128,-0.006666667,-0.0308
446,129,-0.001733333,-0.037
446,130,-0.017366667,-0.0112
446,131,-0.039433333,0.00780000000000001
446,132,-0.016366667,-0.0363
446,133,-0.003733333,-0.0152
446,134,-0.0073,-0.0411
446,141,-0.135,-0.15
446,142,0.1404,-0.2029
446,143,0.083566667,-0.0314000000000001
446,144,-0.118333333,0.1648
446,147,0.19,0.14
446,148,-0.0213333330000003,0.298
448,49,-0.256666667,-0.2
448,50,0.386666667,0.1
448,51,0.726666667,0.35
448,52,0.53,1
448,53,NaN,NaN
448,54,NaN,NaN
448,55,NaN,NaN
448,56,-1.24,NaN
448,57,-1.32,-0.55
448,58,0.17,-1.65
448,86,-0.66,-0.8
448,89,-0.083333333,-0.4
448,90,-0.0733333329999999,0.0999999999999999
448,91,0.286666667,-0.05
448,92,0.00666666700000018,0.5
448,93,-0.383333333,0.62
448,94,0.363333333,-0.92
448,95,0.16,0.45
448,96,0.076666667,0.1
448,97,0.193333333,0.2
448,98,0.203333333,0
448,99,0.156666667,0
448,100,0.253333333,0.15
448,101,-0.116666667,0.75
448,102,-0.0633333330000001,-0.15
448,103,-0.346666667,0
448,107,-0.856666667,-0.9
450,50,0.686666667,-0.25
450,55,-1.083333333,0.25
450,56,-0.59,-0.600000000000001
450,57,-0.470000000000001,-0.449999999999999
450,58,0.17,-0.550000000000001
450,59,NaN,NaN
450,63,0.096666667,-0.3
451,51,0.676666667,0
451,52,1.23,0.15
451,53,0.936666667,0.8
451,56,-0.84,-0.0200000000000005
451,57,-0.87,-0.2
451,58,-0.180000000000001,-0.8
451,61,-0.04,0.5
452,53,1.436666667,-0.4
452,54,0.296666667,1.1
452,55,-0.433333333,0.5
452,56,-0.74,0.2
452,57,-0.67,-0.4
452,58,-0.380000000000001,-0.3
452,59,0.896666667,-1.2
452,60,NaN,NaN
452,63,0.246666667,NaN
452,64,0.0899999999999999,0.2
452,65,-0.056666667,0.11
452,66,-0.253333333,0.130000000000001
452,67,-0.676666667,0.4
452,68,-0.246666667,-1.1
452,69,-0.793333333000001,0.9
452,70,-0.0666666669999998,-0.680000000000001
456,55,-1.633333333,0.2
456,56,-1.54,-0.2
456,57,-0.77,-1.6
456,58,NaN,NaN
456,59,NaN,NaN
456,60,-1.023333333,0.3
456,61,-0.94,-0.2
456,62,NaN,NaN
456,63,NaN,NaN
456,64,NaN,NaN
456,67,-0.476666667,-0.3
456,68,NaN,NaN
456,69,NaN,NaN
456,70,NaN,NaN
456,71,NaN,NaN
456,72,NaN,NaN
456,73,NaN,NaN
456,74,NaN,NaN
456,75,0.266666667,NaN
456,76,-0.733333333,0.9
456,77,NaN,NaN
456,78,NaN,NaN
456,79,NaN,NaN
456,80,-1.293333333,NaN
456,81,NaN,NaN
456,82,NaN,NaN
456,85,NaN,NaN
456,88,0.016666667,-0.25
456,91,0.486666667,0
456,92,-0.0933333329999999,1.1
456,93,NaN,NaN
456,94,NaN,NaN
456,95,NaN,NaN
456,96,-0.173333333,NaN
456,97,NaN,NaN
456,98,NaN,NaN
456,99,NaN,NaN
456,100,NaN,NaN
456,104,-0.86,-0.15
456,105,-3.106666667,0.800000000000001
456,106,-1.973333333,-1.55
456,114,-0.00333333299999999,-0.1
456,115,0.106666667,-0.1
456,116,0.036666667,0.05
456,119,-0.176666667,0.1
456,122,NaN,NaN
456,123,0.103333333,NaN
456,136,-0.501666667,0
456,137,NaN,NaN
456,138,-0.618333333,NaN
456,139,-0.478333333,-0.35
456,140,-0.345,-0.25
456,141,0.0649999999999999,-0.25
456,142,0.09,0.025
456,143,0.0116666670000001,0.0249999999999999
456,144,-0.068333333,0
456,145,0.0350000000000001,0
456,146,0.0650000000000002,0
456,147,NaN,NaN
458,57,-1.22,0
458,62,-0.453333333,-0.25
458,63,-0.703333333,0
458,64,-0.51,-0.65
458,65,-0.496666667,-0.55
458,66,-0.823333333,-0.25
458,67,-0.426666667,-1.05
458,70,-0.0466666670000002,-1
458,71,-0.0999999999999996,0
458,72,0.293333333,-0.5
462,57,-0.37,-0.57
462,58,-0.45,0.21
462,59,NaN,NaN
462,60,0.0666666669999998,NaN
462,61,-0.31,0.55
462,62,-0.263333332999999,-0.11
462,65,-0.316666667,-0.27
462,66,-0.283333333,-0.140000000000001
462,67,0.0633333330000001,-0.33
462,68,-0.706666667,0.34
462,71,0.21,0.600000000000001
463,57,-1.27,0.8
463,58,-0.680000000000001,-0.5
463,59,0.296666667,-0.7
463,60,0.0766666669999996,0.2
463,61,-0.04,0.3
